OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Length,Subway_Group,Subway Group
347,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.004602715007266,,"1, 2, 3"
348,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.003588059184303,,"1, 2, 3"
349,L,Document/Folder,0,-1,0.0,0,0,,,0.004999727702185,,L
350,2,Document/Folder,0,-1,0.0,0,0,,,0.007049561697211,,"1, 2, 3"
351,N,Document/Folder,0,-1,0.0,0,0,,,0.006713149600278,,"N, Q, R, W"
352,4-5-6,Document/Folder,0,-1,0.0,0,0,,,0.007149264185485,,"4, 5, 6"
353,D,Document/Folder,0,-1,0.0,0,0,,,0.007239350759992,,"B, D, F, M"
354,N,Document/Folder,0,-1,0.0,0,0,,,0.010396171963016,,"N, Q, R, W"
355,A-C,Document/Folder,0,-1,0.0,0,0,,,0.001569826761613,,"A, C, E"
356,B,Document/Folder,0,-1,0.0,0,0,,,0.003161649001706,,"B, D, F, M"
357,G,Document/Folder,0,-1,0.0,0,0,,,0.00859093795884,,G
358,F,Document/Folder,0,-1,0.0,0,0,,,0.008881852322584,,"B, D, F, M"
359,N-Q-R-W,Document/Folder,0,-1,0.0,0,0,,,0.00785641978585,,"N, Q, R, W"
360,B,Document/Folder,0,-1,0.0,0,0,,,0.006411692728594,,"B, D, F, M"
361,A-C,Document/Folder,0,-1,0.0,0,0,,,0.004089707079985,,"A, C, E"
362,N-Q-R-W,Document/Folder,0,-1,0.0,0,0,,,0.001967583115902,,"N, Q, R, W"
363,Q,Document/Folder,0,-1,0.0,0,0,,,0.00591953425298,,"N, Q, R, W"
364,4,Document/Folder,0,-1,0.0,0,0,,,0.008491362743024,,"4, 5, 6"
365,4,Document/Folder,0,-1,0.0,0,0,,,0.008670828133291,,"4, 5, 6"
366,2,Document/Folder,0,-1,0.0,0,0,,,0.005896997541135,,"1, 2, 3"
367,2,Document/Folder,0,-1,0.0,0,0,,,0.007913330048773,,"1, 2, 3"
368,2,Document/Folder,0,-1,0.0,0,0,,,0.004720739851548,,"1, 2, 3"
369,7,Document/Folder,0,-1,0.0,0,0,,,0.005618608546558,,7
370,6,Document/Folder,0,-1,0.0,0,0,,,0.007757743975125,,"4, 5, 6"
371,6,Document/Folder,0,-1,0.0,0,0,,,0.004771773045752,,"4, 5, 6"
372,6,Document/Folder,0,-1,0.0,0,0,,,0.004903776321786,,"4, 5, 6"
373,6,Document/Folder,0,-1,0.0,0,0,,,0.005316603427013,,"4, 5, 6"
374,5,Document/Folder,0,-1,0.0,0,0,,,0.012008980722735,,"4, 5, 6"
375,B-D,Document/Folder,0,-1,0.0,0,0,,,0.009086609634661,,"B, D, F, M"
376,4,Document/Folder,0,-1,0.0,0,0,,,0.006462004490913,,"4, 5, 6"
377,B-D,Document/Folder,0,-1,0.0,0,0,,,0.00748387340453,,"B, D, F, M"
378,4,Document/Folder,0,-1,0.0,0,0,,,0.004972725890489,,"4, 5, 6"
379,B-D,Document/Folder,0,-1,0.0,0,0,,,0.006710857368289,,"B, D, F, M"
380,4,Document/Folder,0,-1,0.0,0,0,,,0.005868552494382,,"4, 5, 6"
381,4,Document/Folder,0,-1,0.0,0,0,,,0.005352393576683,,"4, 5, 6"
382,B-D,Document/Folder,0,-1,0.0,0,0,,,0.007499369894478,,"B, D, F, M"
383,B-D,Document/Folder,0,-1,0.0,0,0,,,0.00724283972945,,"B, D, F, M"
384,B-D,Document/Folder,0,-1,0.0,0,0,,,0.006003221644739,,"B, D, F, M"
385,N-W,Document/Folder,0,-1,0.0,0,0,,,0.000963528288098,,"N, Q, R, W"
386,B-D,Document/Folder,0,-1,0.0,0,0,,,0.005588452090227,,"B, D, F, M"
387,B-D,Document/Folder,0,-1,0.0,0,0,,,0.005550008340216,,"B, D, F, M"
388,B-D,Document/Folder,0,-1,0.0,0,0,,,0.007231957798164,,"B, D, F, M"
389,B-D,Document/Folder,0,-1,0.0,0,0,,,0.004077868907792,,"B, D, F, M"
390,B-D,Document/Folder,0,-1,0.0,0,0,,,0.009034773799503,,"B, D, F, M"
391,B-D,Document/Folder,0,-1,0.0,0,0,,,0.007153208602884,,"B, D, F, M"
392,B-D,Document/Folder,0,-1,0.0,0,0,,,0.00548477540854,,"B, D, F, M"
393,B-D,Document/Folder,0,-1,0.0,0,0,,,0.005504267194822,,"B, D, F, M"
394,1,Document/Folder,0,-1,0.0,0,0,,,0.006683061590177,,"1, 2, 3"
395,B-D,Document/Folder,0,-1,0.0,0,0,,,0.008369592416701,,"B, D, F, M"
396,B-D,Document/Folder,0,-1,0.0,0,0,,,0.006835876954321,,"B, D, F, M"
397,5,Document/Folder,0,-1,0.0,0,0,,,0.010431072682014,,"4, 5, 6"
398,5,Document/Folder,0,-1,0.0,0,0,,,0.005663947437617,,"4, 5, 6"
399,5,Document/Folder,0,-1,0.0,0,0,,,0.004130763063703,,"4, 5, 6"
400,5,Document/Folder,0,-1,0.0,0,0,,,0.008331231795986,,"4, 5, 6"
401,5,Document/Folder,0,-1,0.0,0,0,,,0.008274181755885,,"4, 5, 6"
402,5,Document/Folder,0,-1,0.0,0,0,,,0.00559879924959,,"4, 5, 6"
403,5,Document/Folder,0,-1,0.0,0,0,,,0.007284217162963,,"4, 5, 6"
404,A-C,Document/Folder,0,-1,0.0,0,0,,,0.021178973047677,,"A, C, E"
405,B,Document/Folder,0,-1,0.0,0,0,,,0.018185478498133,,"B, D, F, M"
406,2,Document/Folder,0,-1,0.0,0,0,,,0.005161953451054,,"1, 2, 3"
407,2-3,Document/Folder,0,-1,0.0,0,0,,,0.006485923991102,,"1, 2, 3"
408,B,Document/Folder,0,-1,0.0,0,0,,,0.006730156627271,,"B, D, F, M"
409,F,Document/Folder,0,-1,0.0,0,0,,,0.007999604136927,,"B, D, F, M"
410,Q,Document/Folder,0,-1,0.0,0,0,,,0.006979433528567,,"N, Q, R, W"
411,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.003335617163776,,"A, C, E"
412,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.005473182690896,,"1, 2, 3"
413,N-Q-R-W,Document/Folder,0,-1,0.0,0,0,,,0.00785641978585,,"N, Q, R, W"
414,4-5-6,Document/Folder,0,-1,0.0,0,0,,,0.005501673239839,,"4, 5, 6"
415,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.003819457785654,,"B, D, F, M"
416,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.003882681255497,,"1, 2, 3"
417,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.008665812453079,,"A, C, E"
418,1-2-3,Document/Folder,0,-1,0.0,0,0,,,0.0039697235823,,"1, 2, 3"
419,4-5-6,Document/Folder,0,-1,0.0,0,0,,,0.004643882692408,,"4, 5, 6"
420,B-D,Document/Folder,0,-1,0.0,0,0,,,0.006790015505501,,"B, D, F, M"
421,N-Q-R-W,Document/Folder,0,-1,0.0,0,0,,,0.005765564036286,,"N, Q, R, W"
422,B-D-F-M,Document/Folder,0,-1,0.0,0,0,,,0.007943510565542,,"B, D, F, M"
423,A-C-E,Document/Folder,0,-1,0.0,0,0,,,0.005702243556467,,"A, C, E"
424,A-C,Document/Folder,0,-1,0.0,0,0,,,0.008479321137479,,"A, C, E"
