id,name,legal_name,type,admin_street_address,admin_city,admin_state,admin_zip,phone_number,latitude,longitude,locale_code,county_code,state_code,region_code,income,revenue
8403600760,NEW YORK BOTANICAL GARDEN,NEW YORK BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",200TH STREET KAZIMIROFF BLVD,BRONX,NY,10458,7188178700,40.86306,-73.88907,1.0,5.0,36.0,2,145780347.0,83116672.0
8403602340,NEW YORK CITY AIDS MEMORIAL,NEW YORK CITY AIDS MEMORIAL INC,HISTORIC PRESERVATION,PO BOX 23,NEW YORK,NY,10159,,40.66267,-73.98039,1.0,47.0,36.0,2,1230689.0,1230689.0
8403600816,NEW YORK CITY FIRE MUSEUM,FRIENDS OF THE NEW YORK CITY FIRE DEPARTMENT COLLECTION INC,GENERAL MUSEUM,278 SPRING STREET,NEW YORK,NY,10013,2126911303,40.72565,-74.00652,1.0,61.0,36.0,2,493409.0,412649.0
8409400505,NEW YORK CITY PEACE MUSEUM,NEW YORK CITY PEACE MUSEUM INC,GENERAL MUSEUM,155 BANK STREET SUITE 81,NEW YORK,NY,10014,,40.73622,-74.00879,1.0,61.0,36.0,2,,
8403600955,NEW YORK CITY POLICE MUSEUM,NEW YORK CITY POLICE MUSEUM,HISTORY MUSEUM,111 E 59TH ST,MANHATTAN,NY,10005,2124803100,40.7062,-74.0099,1.0,61.0,36.0,2,983185.0,859314.0
8403600170,NEW YORK CITY VIETNAM VETERANS MEMORIAL PLAZA,NEW YORK CITY VIETNAM VETERANS MEMORIAL PLAZA,GENERAL MUSEUM,55 WATER ST,NEW YORK,NY,10041,2124719496,40.70317,-74.00916,1.0,61.0,36.0,2,,
8403600976,NEW YORK FOOD MUSEUM,NY FOOD MUSEUM,GENERAL MUSEUM,PO BOX 222,NEW YORK,NY,10012,2129660191,40.72152,-73.99576,1.0,61.0,36.0,2,0.0,0.0
8403600523,NEW YORK HALL OF SCIENCE,NEW YORK HALL OF SCIENCE,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,4701 111TH ST,CORONA,NY,11368,7186990005,40.74716,-73.85343,1.0,81.0,36.0,2,26763491.0,24940387.0
8403601748,NEW YORK HISTORIC DISTRICTSPRESERVATION TRUST,NEW YORK HISTORIC DISTRICTSPRESERVATION TRUST,HISTORIC PRESERVATION,767 THIRD AVE,NEW YORK,NY,10017,,40.73829,-73.9764,1.0,,36.0,2,20000.0,
8403600197,NEW YORK HISTORICAL SOCIETY,N Y HISTORICAL SOC,HISTORIC PRESERVATION,170 W 110TH ST,NEW YORK,NY,10026,2128733400,40.79948,-73.95349,1.0,61.0,36.0,2,,
8403600746,NEW YORK HISTORICAL SOCIETY,NEW YORK HISTORICAL SOCIETY,HISTORIC PRESERVATION,170 CENTRAL PARK W,NEW YORK,NY,10024,2128733400,40.77931,-73.97438,1.0,61.0,36.0,2,45612917.0,27004249.0
8403600867,NEW YORK IRISH,NEW YORK IRISH INC,HISTORIC PRESERVATION,PO BOX 2087,NEW YORK,NY,10014,,40.73075,-74.00441,1.0,61.0,36.0,2,0.0,0.0
8403600894,NEW YORK LABOR HISTORY ASSOCIATION,NEW YORK LABOR HISTORY ASSOCIATION INCORPORATED,HISTORIC PRESERVATION,351 W 24TH ST APT 21F,NEW YORK,NY,10011,2129982636,40.73075,-73.9988,1.0,61.0,36.0,2,18535.0,18535.0
8403601957,NEW YORK LANDMARKS CONSERVANCY,NEW YORK LANDMARKS CONSERVANCY INC,HISTORIC PRESERVATION,1 WHITEHALL ST FL 21,NEW YORK,NY,10004,2129955260,40.70381,-74.01275,1.0,61.0,36.0,2,6388320.0,3327505.0
8403601381,NEW YORK MILLS HISTORICAL SOCIETY,NEW YORK MILLS HISTORICAL SOCIETY,HISTORIC PRESERVATION,96 MAIN STREET,NEW YORK MILLS,NY,13417,3157360489,43.10535,-75.29356,2.0,65.0,36.0,2,0.0,0.0
